accuracy,api_calls,api_errors,cache_hits,cost_estimate,display_name,duplicate_sample_ids,eval_protocol,exactness_level,exactness_note,exactness_notes,method,method_id,missing_files,missing_sample_ids,model,num_correct,num_expected_samples,num_failed,num_iterations,num_opt_samples,num_prediction_rows,num_samples,num_test_samples,num_val_samples,opt_hash,paper_method_id,parse_errors,runtime_seconds,skipped,status,suite,task_id,test_hash,tokens_completion,tokens_prompt,tokens_total,val_hash
0.891566265060241,,0,,,Boolean Expressions,[],paper_mode,prompt_dependent,Prompt-dependent; exact only when the local origin prompt matches the original paper prompt.,Prompt-dependent; exact only when the local origin prompt matches the original paper prompt.,Origin,origin,[],[],deepseek-chat,222,249,27,1,249,249,249,249,249,0be8b38546c63c5d3d787121716b10e9a217c0a443df56b45738a962bdc84edc,origin,0,,True,completed,main,boolean_expressions,0be8b38546c63c5d3d787121716b10e9a217c0a443df56b45738a962bdc84edc,,,,0be8b38546c63c5d3d787121716b10e9a217c0a443df56b45738a962bdc84edc
0.9196787148594378,,0,,,Boolean Expressions,[],paper_mode,best_effort_reimplementation,Local CoT baseline; paper reports baseline numbers but the original repository does not provide a complete executable baseline protocol.,Local CoT baseline; paper reports baseline numbers but the original repository does not provide a complete executable baseline protocol.,CoT(ZS),cot_zs,[],[],deepseek-chat,229,249,20,1,249,249,249,249,249,0be8b38546c63c5d3d787121716b10e9a217c0a443df56b45738a962bdc84edc,cot_zs,0,,True,completed,main,boolean_expressions,0be8b38546c63c5d3d787121716b10e9a217c0a443df56b45738a962bdc84edc,,,,0be8b38546c63c5d3d787121716b10e9a217c0a443df56b45738a962bdc84edc
0.9799196787148594,,0,,,Boolean Expressions,[],paper_mode,best_effort_reimplementation,Local CoT baseline; paper reports baseline numbers but the original repository does not provide a complete executable baseline protocol.,Local CoT baseline; paper reports baseline numbers but the original repository does not provide a complete executable baseline protocol.,CoT(FS),cot_fs,[],[],deepseek-chat,244,249,5,1,249,249,249,249,249,0be8b38546c63c5d3d787121716b10e9a217c0a443df56b45738a962bdc84edc,cot_fs,0,,True,completed,main,boolean_expressions,0be8b38546c63c5d3d787121716b10e9a217c0a443df56b45738a962bdc84edc,,,,0be8b38546c63c5d3d787121716b10e9a217c0a443df56b45738a962bdc84edc
0.9156626506024096,,0,,,Boolean Expressions,[],paper_mode,legacy_aligned_partial,"Legacy-aligned partial reproduction: uses original UserProxy/Planner task blocks, agent system prompts, legacy Target prompt format, p0 evaluation, and target call-count limit; remaining differences may include framework wrappers, local baseline protocol, and model/API behavior.","Legacy-aligned partial reproduction: uses original UserProxy/Planner task blocks, agent system prompts, legacy Target prompt format, p0 evaluation, and target call-count limit; remaining differences may include framework wrappers, local baseline protocol, and model/API behavior.",MARS-official,mars_official,[],[],deepseek-chat,228,249,21,4,249,249,249,249,249,0be8b38546c63c5d3d787121716b10e9a217c0a443df56b45738a962bdc84edc,mars,0,,True,completed,main,boolean_expressions,0be8b38546c63c5d3d787121716b10e9a217c0a443df56b45738a962bdc84edc,,,,0be8b38546c63c5d3d787121716b10e9a217c0a443df56b45738a962bdc84edc
0.46184738955823296,,0,,,Disambiguation QA,[],paper_mode,prompt_dependent,Prompt-dependent; exact only when the local origin prompt matches the original paper prompt.,Prompt-dependent; exact only when the local origin prompt matches the original paper prompt.,Origin,origin,[],[],deepseek-chat,115,249,134,1,249,249,249,249,249,3ed4f8eabbe665e6bffe4fb6e6aa00020a22da32e14985839ee66b89611872d8,origin,0,,True,completed,main,disambiguation_qa,3ed4f8eabbe665e6bffe4fb6e6aa00020a22da32e14985839ee66b89611872d8,,,,3ed4f8eabbe665e6bffe4fb6e6aa00020a22da32e14985839ee66b89611872d8
0.6184738955823293,,0,,,Disambiguation QA,[],paper_mode,best_effort_reimplementation,Local CoT baseline; paper reports baseline numbers but the original repository does not provide a complete executable baseline protocol.,Local CoT baseline; paper reports baseline numbers but the original repository does not provide a complete executable baseline protocol.,CoT(ZS),cot_zs,[],[],deepseek-chat,154,249,95,1,249,249,249,249,249,3ed4f8eabbe665e6bffe4fb6e6aa00020a22da32e14985839ee66b89611872d8,cot_zs,0,,True,completed,main,disambiguation_qa,3ed4f8eabbe665e6bffe4fb6e6aa00020a22da32e14985839ee66b89611872d8,,,,3ed4f8eabbe665e6bffe4fb6e6aa00020a22da32e14985839ee66b89611872d8
0.7831325301204819,120,16,145,0.0,Disambiguation QA,,paper_mode,best_effort_reimplementation,Local CoT baseline; paper reports baseline numbers but the original repository does not provide a complete executable baseline protocol.,Local CoT baseline; paper reports baseline numbers but the original repository does not provide a complete executable baseline protocol.,CoT(FS),cot_fs,,,deepseek-chat,195,,54,1,249,,249,249,249,3ed4f8eabbe665e6bffe4fb6e6aa00020a22da32e14985839ee66b89611872d8,cot_fs,0,146.23677563667297,,completed,main,disambiguation_qa,3ed4f8eabbe665e6bffe4fb6e6aa00020a22da32e14985839ee66b89611872d8,208,43578,43786,3ed4f8eabbe665e6bffe4fb6e6aa00020a22da32e14985839ee66b89611872d8
0.6867469879518072,2699,0,249,0.0,Disambiguation QA,,paper_mode,legacy_aligned_partial,"Legacy-aligned partial reproduction: uses original UserProxy/Planner task blocks, agent system prompts, legacy Target prompt format, p0 evaluation, and target call-count limit; remaining differences may include framework wrappers, local baseline protocol, and model/API behavior.","Legacy-aligned partial reproduction: uses original UserProxy/Planner task blocks, agent system prompts, legacy Target prompt format, p0 evaluation, and target call-count limit; remaining differences may include framework wrappers, local baseline protocol, and model/API behavior.",MARS-official,mars_official,,,deepseek-chat,171,,78,10,249,,249,249,249,3ed4f8eabbe665e6bffe4fb6e6aa00020a22da32e14985839ee66b89611872d8,mars,0,3246.1745727062225,,completed,main,disambiguation_qa,3ed4f8eabbe665e6bffe4fb6e6aa00020a22da32e14985839ee66b89611872d8,32884,1283043,1315927,3ed4f8eabbe665e6bffe4fb6e6aa00020a22da32e14985839ee66b89611872d8
0.7670682730923695,250,0,0,0.0,Formal Fallacies,,paper_mode,prompt_dependent,Prompt-dependent; exact only when the local origin prompt matches the original paper prompt.,Prompt-dependent; exact only when the local origin prompt matches the original paper prompt.,Origin,origin,,,deepseek-chat,191,,58,1,249,,249,249,249,10f00a143a6085b08223524195769175f9455db7cc59f8359188e98c803fc4ea,origin,0,149.6590712070465,,completed,main,formal_fallacies,10f00a143a6085b08223524195769175f9455db7cc59f8359188e98c803fc4ea,491,99661,100152,10f00a143a6085b08223524195769175f9455db7cc59f8359188e98c803fc4ea
0.7228915662650602,249,0,0,0.0,Formal Fallacies,,paper_mode,best_effort_reimplementation,Local CoT baseline; paper reports baseline numbers but the original repository does not provide a complete executable baseline protocol.,Local CoT baseline; paper reports baseline numbers but the original repository does not provide a complete executable baseline protocol.,CoT(ZS),cot_zs,,,deepseek-chat,180,,69,1,249,,249,249,249,10f00a143a6085b08223524195769175f9455db7cc59f8359188e98c803fc4ea,cot_zs,0,146.27031588554382,,completed,main,formal_fallacies,10f00a143a6085b08223524195769175f9455db7cc59f8359188e98c803fc4ea,642,47346,47988,10f00a143a6085b08223524195769175f9455db7cc59f8359188e98c803fc4ea
0.8112449799196787,249,0,0,0.0,Formal Fallacies,,paper_mode,best_effort_reimplementation,Local CoT baseline; paper reports baseline numbers but the original repository does not provide a complete executable baseline protocol.,Local CoT baseline; paper reports baseline numbers but the original repository does not provide a complete executable baseline protocol.,CoT(FS),cot_fs,,,deepseek-chat,202,,47,1,249,,249,249,249,10f00a143a6085b08223524195769175f9455db7cc59f8359188e98c803fc4ea,cot_fs,0,193.14849138259888,,completed,main,formal_fallacies,10f00a143a6085b08223524195769175f9455db7cc59f8359188e98c803fc4ea,996,145203,146199,10f00a143a6085b08223524195769175f9455db7cc59f8359188e98c803fc4ea
